86,open,cleebp,1461698747.0,"['May 1', 'meeting']",1462075200.0,1461731518.0
85,open,reachspirit,1460573975.0,"['in progress', 'May 1']",1462075200.0,1461557516.0
84,open,effat,1460573845.0,"['design', 'May 1']",1462075200.0,1461599855.0
83,open,trueblue2704,1460573656.0,"['in progress', 'May 1']",1462075200.0,1461598836.0
82,open,cleebp,1460573531.0,['May 1'],1462075200.0,1461083422.0
81,closed,cleebp,1460573402.0,['meeting'],1462075200.0,1461698592.0
80,closed,cleebp,1460045172.0,"['May 1', 'meeting']",1462075200.0,1460574336.0
79,closed,cleebp,1459872061.0,"['Apr 1', 'in progress']",1460001600.0,1460045001.0
78,closed,cleebp,1459800677.0,"['Apr 1', 'discussion']",1460001600.0,1460045026.0
77,closed,cleebp,1459785833.0,['Apr 1'],1460001600.0,1459976554.0
76,closed,cleebp,1459711769.0,"['Apr 1', 'discussion']",1460001600.0,1459976573.0
75,closed,cleebp,1459456378.0,"['Apr 1', 'discussion']",1460001600.0,1459976566.0
74,closed,cleebp,1459364750.0,"['Apr 1', 'design']",1460001600.0,1459871117.0
73,closed,trueblue2704,1459214138.0,"['Apr 1', 'discussion', 'in progress']",1460001600.0,1459361231.0
72,closed,cleebp,1459188412.0,[],-1,1459361238.0
71,closed,cleebp,1459187303.0,"['Apr 1', 'meeting']",1460001600.0,1459711974.0
70,closed,reachspirit,1459129920.0,[],-1,1459187637.0
69,closed,reachspirit,1459103473.0,[],-1,1459130186.0
68,closed,trueblue2704,1458787936.0,[],-1,1458787986.0
67,closed,cleebp,1458761753.0,"['Apr 1', 'discussion']",1460001600.0,1459800564.0
66,closed,cleebp,1458761702.0,"['Apr 1', 'in progress']",1459396800.0,1459361257.0
65,closed,cleebp,1458761669.0,"['Apr 1', 'help wanted']",1459396800.0,1459187709.0
64,closed,cleebp,1458761615.0,['Apr 1'],1459396800.0,1459361251.0
63,closed,cleebp,1458761384.0,"['Apr 1', 'discussion', 'meeting']",1460001600.0,1459456400.0
62,closed,cleebp,1458761336.0,"['Apr 1', 'discussion', 'meeting']",1459396800.0,1459187742.0
61,closed,cleebp,1458673446.0,"['Apr 1', 'discussion', 'meeting']",1460001600.0,1458788047.0
60,closed,reachspirit,1458154484.0,"['Apr 1', 'bug', 'in progress']",-1,1458759821.0
59,closed,cleebp,1458147995.0,"['Apr 1', 'discussion', 'meeting']",1459396800.0,1459187687.0
58,closed,trueblue2704,1457919293.0,"['Apr 1', 'enhancement', 'in testing']",1459396800.0,1457919333.0
57,closed,trueblue2704,1457551639.0,"['Apr 1', 'enhancement', 'in progress']",1459396800.0,1458788007.0
56,closed,trueblue2704,1457551587.0,"['Apr 1', 'enhancement', 'help wanted', 'in testing']",1459396800.0,1458787986.0
55,closed,trueblue2704,1457551422.0,"['Apr 1', 'discussion', 'in progress']",1459396800.0,1460573699.0
54,closed,trueblue2704,1457499969.0,[],-1,1458148004.0
53,closed,cleebp,1457453996.0,[],-1,1457545754.0
52,closed,effat,1457409512.0,"['Apr 1', 'discussion']",1460001600.0,1457551897.0
51,closed,cleebp,1456949470.0,"['bug', 'help wanted', 'Mar 1', 'meeting']",1456981200.0,1456949918.0
50,closed,trueblue2704,1456946120.0,[],-1,1456946190.0
49,closed,trueblue2704,1456890818.0,"['discussion', 'in testing']",1456981200.0,1456946260.0
48,closed,cleebp,1456863006.0,"['bug', 'in testing', 'Mar 1']",1456808400.0,1456946302.0
47,closed,trueblue2704,1456852393.0,"['feature', 'Mar 1']",1456808400.0,1456890702.0
46,closed,trueblue2704,1456852343.0,"['feature', 'Mar 1']",1456808400.0,1456852350.0
45,closed,cleebp,1456852283.0,"['in progress', 'in testing', 'Mar 1']",1456808400.0,1456857747.0
44,closed,cleebp,1456850459.0,"['in testing', 'Mar 1']",1456808400.0,1456852144.0
43,closed,cleebp,1456768998.0,"['discussion', 'help wanted', 'Mar 1']",1456981200.0,1456944388.0
42,closed,trueblue2704,1456690985.0,[],-1,1456690990.0
41,closed,cleebp,1456690757.0,[],-1,1456690777.0
40,closed,reachspirit,1456687781.0,[],-1,1456688281.0
39,closed,reachspirit,1456630149.0,"['help wanted', 'Mar 1', 'question']",1456808400.0,1456690247.0
38,closed,reachspirit,1456346716.0,"['discussion', 'help wanted', 'Mar 1']",1456808400.0,1456628762.0
37,closed,trueblue2704,1456346468.0,[],-1,1457026243.0
36,closed,cleebp,1456346261.0,"['discussion', 'Mar 1']",1456808400.0,1456692755.0
35,closed,reachspirit,1456345030.0,"['bug', 'question']",-1,1457026260.0
34,closed,trueblue2704,1456344775.0,[],-1,1456345103.0
33,closed,trueblue2704,1456344718.0,[],-1,1456346826.0
32,closed,trueblue2704,1456344661.0,[],-1,1456344669.0
31,closed,cleebp,1456344316.0,['Mar 1'],1456808400.0,1456344515.0
30,closed,trueblue2704,1456342308.0,"['enhancement', 'feature', 'Mar 1']",1456808400.0,1456852311.0
